Locations,Total Cases,Rate,collect_time,Deaths,Death_rate
City of Rosemead,68,122.85,2020/5/18,,
City of San Dimas,39,112.99,2020/5/18,,
City of San Fernando,161,654.15,2020/5/18,,
City of San Gabriel,82,200.22,2020/5/18,,
City of San Marino,19,143.1,2020/5/18,,
City of Santa Clarita,583,264.49,2020/5/18,,
City of Santa Fe Springs,39,212.37,2020/5/18,,
City of Santa Monica,241,260.69,2020/5/18,,
City of Sierra Madre,8,72.8,2020/5/18,,
City of Signal Hill,18,152.58,2020/5/18,,
City of South El Monte,54,258.56,2020/5/18,,
City of South Gate,370,376.95,2020/5/18,,
City of South Pasadena,111,426.05,2020/5/18,,
City of Temple City,107,293.51,2020/5/18,,
City of Torrance,339,227.11,2020/5/18,,
City of Vernon,1,478.47,2020/5/18,,
City of Walnut,33,108.08,2020/5/18,,
City of West Covina,208,192.17,2020/5/18,,
City of West Hollywood,158,427.59,2020/5/18,,
City of Westlake Village,6,71.77,2020/5/18,,
City of Whittier,214,244.76,2020/5/18,,
Los Angeles,18540,458.39,2020/5/18,,
Los Angeles - Adams-Normandie,37,451.11,2020/5/18,,
Los Angeles - Alsace,42,337.48,2020/5/18,,
Los Angeles - Angeles National Forest,0,0,2020/5/18,,
Los Angeles - Angelino Heights,13,519.58,2020/5/18,,
Los Angeles - Arleta,204,593.54,2020/5/18,,
Los Angeles - Atwater Village,41,279.56,2020/5/18,,
Los Angeles - Baldwin Hills,120,385.54,2020/5/18,,
Los Angeles - Bel Air,32,379.64,2020/5/18,,
Los Angeles - Beverly Crest,36,287.43,2020/5/18,,
Los Angeles - Beverlywood,34,258.1,2020/5/18,,
Los Angeles - Boyle Heights*,401,461.53,2020/5/18,,
Los Angeles - Brentwood,74,239.06,2020/5/18,,
Los Angeles - Brookside,0,0,2020/5/18,,
Los Angeles - Cadillac-Corning,26,365.12,2020/5/18,,
Los Angeles - Canoga Park,428,655.55,2020/5/18,,
Los Angeles - Carthay,71,494.33,2020/5/18,,
Los Angeles - Central,241,618.08,2020/5/18,,
Los Angeles - Century City,34,265.79,2020/5/18,,
Los Angeles - Century Palms/Cove,162,479.77,2020/5/18,,
Los Angeles - Chatsworth,156,420.93,2020/5/18,,
Los Angeles - Cheviot Hills,19,207.17,2020/5/18,,
Los Angeles - Chinatown,14,174.54,2020/5/18,,
Los Angeles - Cloverdale/Cochran,52,357.31,2020/5/18,,
Los Angeles - Country Club Park,79,521.35,2020/5/18,,
Los Angeles - Crenshaw District,64,462.8,2020/5/18,,
Los Angeles - Crestview,78,686.14,2020/5/18,,
Los Angeles - Del Rey,63,210.45,2020/5/18,,
Los Angeles - Downtown*,97,352.64,2020/5/18,,
Los Angeles - Eagle Rock,141,356.16,2020/5/18,,
Los Angeles - East Hollywood,190,648.75,2020/5/18,,
Los Angeles - Echo Park,40,280.58,2020/5/18,,
Los Angeles - El Sereno,137,327.69,2020/5/18,,
Los Angeles - Elysian Park,13,227.59,2020/5/18,,
Los Angeles - Elysian Valley,38,373.61,2020/5/18,,
Los Angeles - Encino,115,254.58,2020/5/18,,
Los Angeles - Exposition,6,180.4,2020/5/18,,
Los Angeles - Exposition Park,203,451.94,2020/5/18,,
Los Angeles - Faircrest Heights,4,111.11,2020/5/18,,
Los Angeles - Figueroa Park Square,28,321.06,2020/5/18,,
Los Angeles - Florence-Firestone,263,554.33,2020/5/18,,
Los Angeles - Glassell Park,153,484.12,2020/5/18,,
Los Angeles - Gramercy Place,51,473.8,2020/5/18,,
Los Angeles - Granada Hills,226,388.38,2020/5/18,,
Los Angeles - Green Meadows,117,544.06,2020/5/18,,
Los Angeles - Hancock Park,71,416.69,2020/5/18,,
Los Angeles - Harbor City,65,223.6,2020/5/18,,
Los Angeles - Harbor Gateway,104,238.53,2020/5/18,,
Los Angeles - Harbor Pines,8,332.09,2020/5/18,,
Los Angeles - Harvard Heights,98,543.39,2020/5/18,,
Los Angeles - Harvard Park,213,561.49,2020/5/18,,
Los Angeles - Highland Park,145,299.64,2020/5/18,,
Los Angeles - Historic Filipinotown,97,699.35,2020/5/18,,
Los Angeles - Hollywood,231,338.44,2020/5/18,,
Los Angeles - Hollywood Hills,76,258.2,2020/5/18,,
Los Angeles - Hyde Park,112,392.42,2020/5/18,,
Los Angeles - Jefferson Park,29,359.22,2020/5/18,,
Los Angeles - Koreatown,210,406.24,2020/5/18,,
Los Angeles - Lafayette Square,15,329.02,2020/5/18,,
Los Angeles - Lake Balboa,156,369.62,2020/5/18,,
Los Angeles - Lakeview Terrace,89,677.68,2020/5/18,,
Los Angeles - Leimert Park,46,301.94,2020/5/18,,
Los Angeles - Lincoln Heights,183,561.4,2020/5/18,,
Los Angeles - Little Armenia,167,2081,2020/5/18,,
Los Angeles - Little Bangladesh,104,366.93,2020/5/18,,
Los Angeles - Little Tokyo,11,351.1,2020/5/18,,
Los Angeles - Longwood,17,394.98,2020/5/18,,
Los Angeles - Los Feliz,43,199,2020/5/18,,
Los Angeles - Manchester Square,18,210.87,2020/5/18,,
Los Angeles - Mandeville Canyon,1,32.01,2020/5/18,,
Los Angeles - Mar Vista,72,169.53,2020/5/18,,
Los Angeles - Marina Peninsula,9,206.42,2020/5/18,,
Los Angeles - Melrose,460,592.05,2020/5/18,,
Los Angeles - Mid-city,44,292.75,2020/5/18,,
Los Angeles - Miracle Mile,39,216.85,2020/5/18,,
Los Angeles - Mission Hills,122,505.72,2020/5/18,,
Los Angeles - Mt. Washington,70,289.92,2020/5/18,,
Los Angeles - North Hills,321,521.32,2020/5/18,,
Los Angeles - North Hollywood,565,373.13,2020/5/18,,
Los Angeles - Northridge,251,359.61,2020/5/18,,
Los Angeles - Pacific Palisades,45,211.36,2020/5/18,,
Los Angeles - Pacoima,531,689.8,2020/5/18,,
Los Angeles - Palisades Highlands,3,78,2020/5/18,,
Los Angeles - Palms,171,389.73,2020/5/18,,
Los Angeles - Panorama City,568,754.82,2020/5/18,,
Los Angeles - Park La Brea,16,117.82,2020/5/18,,
Los Angeles - Pico-Union,430,1027.68,2020/5/18,,
Los Angeles - Playa Del Rey,2,62.58,2020/5/18,,
Los Angeles - Playa Vista,22,200.97,2020/5/18,,
Los Angeles - Porter Ranch,72,202.32,2020/5/18,,
Los Angeles - Rancho Park,12,182.93,2020/5/18,,
Los Angeles - Regent Square,3,107.91,2020/5/18,,
Los Angeles - Reseda,399,520.77,2020/5/18,,
Los Angeles - Reseda Ranch,29,625.54,2020/5/18,,
Los Angeles - Reynier Village,10,236.52,2020/5/18,,
Los Angeles - San Pedro*,799,1023.86,2020/5/18,,
Los Angeles - Shadow Hills,10,225.12,2020/5/18,,
Los Angeles - Sherman Oaks,201,230.36,2020/5/18,,
Los Angeles - Silverlake,154,349.34,2020/5/18,,
Los Angeles - South Carthay,28,264.28,2020/5/18,,
Los Angeles - South Park,223,587.45,2020/5/18,,
Los Angeles - St Elmo Village,37,807.16,2020/5/18,,
Los Angeles - Studio City,67,298.57,2020/5/18,,
Los Angeles - Sun Valley,236,449.67,2020/5/18,,
Los Angeles - Sunland,120,588,2020/5/18,,
Los Angeles - Sycamore Square,1,154.56,2020/5/18,,
Los Angeles - Sylmar*,602,730.6,2020/5/18,,
Los Angeles - Tarzana,108,349.79,2020/5/18,,
Los Angeles - Temple-Beaudry,237,600.27,2020/5/18,,
Los Angeles - Thai Town,25,254.87,2020/5/18,,
Los Angeles - Toluca Lake,16,183.82,2020/5/18,,
Los Angeles - Toluca Terrace,4,306.28,2020/5/18,,
Los Angeles - Toluca Woods,3,161.46,2020/5/18,,
Los Angeles - Tujunga,100,359.58,2020/5/18,,
Los Angeles - University Hills,9,262.47,2020/5/18,,
Los Angeles - University Park,133,484.41,2020/5/18,,
Los Angeles - Valley Glen,109,363.14,2020/5/18,,
Los Angeles - Valley Village,179,724.11,2020/5/18,,
Los Angeles - Van Nuys,552,592.31,2020/5/18,,
Los Angeles - Venice,60,177.07,2020/5/18,,
Los Angeles - Vermont Knolls,108,627.91,2020/5/18,,
Los Angeles - Vermont Square,69,901.14,2020/5/18,,
Los Angeles - Vermont Vista,233,565.73,2020/5/18,,
Los Angeles - Vernon Central,387,744.26,2020/5/18,,
Los Angeles - Victoria Park,46,547.68,2020/5/18,,
Los Angeles - View Heights,8,216.57,2020/5/18,,
Los Angeles - Watts,176,412.43,2020/5/18,,
Los Angeles - Wellington Square,17,345.88,2020/5/18,,
Los Angeles - West Adams,167,604.42,2020/5/18,,
Los Angeles - West Hills,113,278.7,2020/5/18,,
Los Angeles - West Los Angeles,66,175.36,2020/5/18,,
Los Angeles - West Vernon,343,639.4,2020/5/18,,
Los Angeles - Westchester,84,162.78,2020/5/18,,
Los Angeles - Westlake,505,850.81,2020/5/18,,
Los Angeles - Westwood,60,110.89,2020/5/18,,
Los Angeles - Wholesale District*,453,1253.84,2020/5/18,,
Los Angeles - Wilmington,156,276.17,2020/5/18,,
Los Angeles - Wilshire Center,181,360.77,2020/5/18,,
Los Angeles - Winnetka,240,463.45,2020/5/18,,
Los Angeles - Woodland Hills,146,214.53,2020/5/18,,
Unincorporated - Acton,10,125.45,2020/5/18,,
Unincorporated - Agua Dulce,4,96.2,2020/5/18,,
Unincorporated - Altadena,124,284.27,2020/5/18,,
Unincorporated - Anaverde,1,66.31,2020/5/18,,
Unincorporated - Angeles National Forest,0,0,2020/5/18,,
Unincorporated - Arcadia,6,75.18,2020/5/18,,
Unincorporated - Athens-Westmont,170,400.55,2020/5/18,,
Unincorporated - Athens Village,22,449.25,2020/5/18,,
Unincorporated - Avocado Heights,15,221.4,2020/5/18,,
Unincorporated - Azusa,40,251.21,2020/5/18,,
Unincorporated - Bassett,49,330.7,2020/5/18,,
Unincorporated - Bouquet Canyon,0,0,2020/5/18,,
Unincorporated - Bradbury,0,0,2020/5/18,,
Unincorporated - Canyon Country,33,427.02,2020/5/18,,
Unincorporated - Castaic*,276,1015.04,2020/5/18,,
Unincorporated - Cerritos,0,0,2020/5/18,,
Unincorporated - Charter Oak,0,0,2020/5/18,,
Unincorporated - Claremont,0,0,2020/5/18,,
Unincorporated - Covina,45,267.55,2020/5/18,,
Unincorporated - Covina (Charter Oak),28,213.02,2020/5/18,,
Unincorporated - Del Aire,12,273.16,2020/5/18,,
Unincorporated - Del Rey,0,0,2020/5/18,,
Unincorporated - Del Sur,2,82.82,2020/5/18,,
Unincorporated - Desert View Highlands,5,200.56,2020/5/18,,
Unincorporated - Duarte,14,316.17,2020/5/18,,
Unincorporated - East Covina,0,0,2020/5/18,,
Unincorporated - East La Mirada,10,188.96,2020/5/18,,
Unincorporated - East Lancaster,0,0,2020/5/18,,
Unincorporated - East Los Angeles,564,450.23,2020/5/18,,
Unincorporated - East Pasadena,3,46.85,2020/5/18,,
Unincorporated - East Rancho Dominguez,33,215.57,2020/5/18,,
Unincorporated - East Whittier,7,131.93,2020/5/18,,
Unincorporated - El Camino Village,16,182,2020/5/18,,
Unincorporated - El Monte,0,0,2020/5/18,,
Unincorporated - Elizabeth Lake,3,180.61,2020/5/18,,
Unincorporated - Florence-Firestone,375,579.55,2020/5/18,,
Unincorporated - Franklin Canyon,0,0,2020/5/18,,
Unincorporated - Glendora,2,303.03,2020/5/18,,
Unincorporated - Hacienda Heights,87,155.56,2020/5/18,,
Unincorporated - Harbor Gateway,0,0,2020/5/18,,
Unincorporated - Hawthorne,4,159.11,2020/5/18,,
Unincorporated - Hi Vista,0,0,2020/5/18,,
Unincorporated - Kagel/Lopez Canyons,4,283.29,2020/5/18,,
Unincorporated - La Crescenta-Montrose,24,121.21,2020/5/18,,
Unincorporated - La Habra Heights,0,0,2020/5/18,,
Unincorporated - La Rambla,7,337.35,2020/5/18,,
Unincorporated - La Verne,3,147.06,2020/5/18,,
Unincorporated - Ladera Heights,17,240.42,2020/5/18,,
Unincorporated - Lake Hughes,0,0,2020/5/18,,
Unincorporated - Lake Los Angeles,27,207.79,2020/5/18,,
Unincorporated - Lake Manor,3,182.59,2020/5/18,,
Unincorporated - Lakewood,0,0,2020/5/18,,
Unincorporated - Lennox,82,363.77,2020/5/18,,
Unincorporated - Leona Valley,2,114.22,2020/5/18,,
Unincorporated - Littlerock,14,348.17,2020/5/18,,
Unincorporated - Littlerock/Juniper Hills,2,154.2,2020/5/18,,
Unincorporated - Littlerock/Pearblossom,15,420.29,2020/5/18,,
Unincorporated - Llano,1,114.03,2020/5/18,,
Unincorporated - Marina del Rey,14,148.76,2020/5/18,,
Unincorporated - Miracle Mile,0,0,2020/5/18,,
Unincorporated - Monrovia,17,438.03,2020/5/18,,
Unincorporated - Newhall,0,0,2020/5/18,,
Unincorporated - North Lancaster,4,333.89,2020/5/18,,
Unincorporated - North Whittier,9,107.66,2020/5/18,,
Unincorporated - Northeast San Gabriel,30,124.81,2020/5/18,,
Unincorporated - Palmdale,4,475.06,2020/5/18,,
Unincorporated - Palos Verdes Peninsula,0,0,2020/5/18,,
Unincorporated - Pearblossom/Llano,2,102.25,2020/5/18,,
Unincorporated - Pellissier Village,0,0,2020/5/18,,
Unincorporated - Placerita Canyon,0,0,2020/5/18,,
Unincorporated - Pomona,1,51.6,2020/5/18,,
Unincorporated - Quartz Hill,31,240.2,2020/5/18,,
Unincorporated - Rancho Dominguez,13,488.54,2020/5/18,,
Unincorporated - Roosevelt,0,0,2020/5/18,,
Unincorporated - Rosewood,5,388.8,2020/5/18,,
Unincorporated - Rosewood/East Gardena,0,0,2020/5/18,,
Unincorporated - Rosewood/West Rancho Dominguez,15,446.3,2020/5/18,,
Unincorporated - Rowland Heights,82,160.71,2020/5/18,,
Unincorporated - San Clemente Island,0,0,2020/5/18,,
Unincorporated - San Francisquito Canyon/Bouquet Canyon,0,0,2020/5/18,,
Unincorporated - San Jose Hills,40,197.81,2020/5/18,,
Unincorporated - San Pasqual,1,49.14,2020/5/18,,
Unincorporated - Sand Canyon,0,0,2020/5/18,,
Unincorporated - Santa Catalina Island,2,749.06,2020/5/18,,
Unincorporated - Santa Monica Mountains,20,107.41,2020/5/18,,
Unincorporated - Saugus,4,2580.65,2020/5/18,,
Unincorporated - Saugus/Canyon Country,0,0,2020/5/18,,
Unincorporated - South Antelope Valley,0,0,2020/5/18,,
Unincorporated - South El Monte,2,111.42,2020/5/18,,
Unincorporated - South San Gabriel,24,271.25,2020/5/18,,
Unincorporated - South Whittier,105,177.3,2020/5/18,,
Unincorporated - Southeast Antelope Valley,0,0,2020/5/18,,
Unincorporated - Stevenson Ranch,28,133.55,2020/5/18,,
Unincorporated - Sun Village,10,165.67,2020/5/18,,
Unincorporated - Sunrise Village,2,154.32,2020/5/18,,
Unincorporated - Twin Lakes/Oat Mountain,4,241.25,2020/5/18,,
Unincorporated - Val Verde,14,423.09,2020/5/18,,
Unincorporated - Valencia,7,227.86,2020/5/18,,
Unincorporated - Valinda,51,218.22,2020/5/18,,
Unincorporated - View Park/Windsor Hills,31,266.44,2020/5/18,,
Unincorporated - Walnut Park,71,439.82,2020/5/18,,
Unincorporated - West Antelope Valley,2,132.36,2020/5/18,,
Unincorporated - West Carson,85,384.86,2020/5/18,,
Unincorporated - West Chatsworth,0,0,2020/5/18,,
Unincorporated - West LA,21,2205.88,2020/5/18,,
Unincorporated - West Puente Valley,32,325.37,2020/5/18,,
Unincorporated - West Rancho Dominguez,5,367.92,2020/5/18,,
Unincorporated - West Whittier/Los Nietos,85,315.69,2020/5/18,,
Unincorporated - Westfield/Academy Hills,0,0,2020/5/18,,
Unincorporated - Westhills,0,0,2020/5/18,,
Unincorporated - White Fence Farms,3,81.46,2020/5/18,,
Unincorporated - Whittier,10,264.27,2020/5/18,,
Unincorporated - Whittier Narrows,0,0,2020/5/18,,
Unincorporated - Willowbrook,121,346.58,2020/5/18,,
Unincorporated - Wiseburn,10,165.92,2020/5/18,,
#NAME?,1692,,2020/5/18,,
City of Agoura Hills,33,158.02,2020/5/19,,
City of Alhambra,153,176.42,2020/5/19,,
City of Arcadia,66,114.28,2020/5/19,,
City of Artesia,21,125.04,2020/5/19,,
City of Avalon,0,0,2020/5/19,,
City of Azusa,121,241.81,2020/5/19,,
City of Baldwin Park,207,269.64,2020/5/19,,
City of Bell,198,544.97,2020/5/19,,
City of Bell Gardens,171,397.02,2020/5/19,,
City of Bellflower,260,334.47,2020/5/19,,
City of Beverly Hills,125,362.11,2020/5/19,,
City of Bradbury,2,187.09,2020/5/19,,
City of Burbank,356,332.15,2020/5/19,,
City of Calabasas,51,209.68,2020/5/19,,
City of Carson,351,374.02,2020/5/19,,
City of Cerritos,91,181.76,2020/5/19,,
City of Claremont,32,87.71,2020/5/19,,
City of Commerce,29,221.9,2020/5/19,,
City of Compton,387,387.37,2020/5/19,,
City of Covina,131,267.17,2020/5/19,,
City of Cudahy,127,521.62,2020/5/19,,
City of Culver City,129,323.59,2020/5/19,,
City of Diamond Bar,50,86.93,2020/5/19,,
City of Downey,449,392.95,2020/5/19,,
City of Duarte,96,436.05,2020/5/19,,
City of El Monte,341,290.78,2020/5/19,,
City of El Segundo,32,190.64,2020/5/19,,
City of Gardena,209,340.89,2020/5/19,,
City of Glendale,856,414.54,2020/5/19,,
City of Glendora,95,180.05,2020/5/19,,
City of Hawaiian Gardens,25,170.35,2020/5/19,,
City of Hawthorne,317,357.03,2020/5/19,,
City of Hermosa Beach,27,137.26,2020/5/19,,
City of Hidden Hills,1,52.91,2020/5/19,,
City of Huntington Park,284,477.44,2020/5/19,,
City of Industry,10,2288.33,2020/5/19,,
City of Inglewood,495,435.81,2020/5/19,,
City of Irwindale,4,274.16,2020/5/19,,
City of La Canada Flintridge,47,227.13,2020/5/19,,
City of La Habra Heights,8,146.65,2020/5/19,,
City of La Mirada,132,266.13,2020/5/19,,
City of La Puente,71,174.46,2020/5/19,,
City of La Verne,24,72.11,2020/5/19,,
City of Lakewood,138,171.72,2020/5/19,,
City of Lancaster*,489,302.66,2020/5/19,,
City of Lawndale,92,273.7,2020/5/19,,
City of Lomita,46,221.91,2020/5/19,,
City of Lynwood*,351,487.18,2020/5/19,,
City of Malibu,35,270.04,2020/5/19,,
City of Manhattan Beach,74,205.56,2020/5/19,,
City of Maywood,139,495.56,2020/5/19,,
City of Monrovia,126,324.74,2020/5/19,,
City of Montebello,271,420.97,2020/5/19,,
City of Monterey Park,120,192.73,2020/5/19,,
City of Norwalk,301,279.68,2020/5/19,,
City of Palmdale,585,368,2020/5/19,,
City of Palos Verdes Estates,42,310.6,2020/5/19,,
City of Paramount,210,374.85,2020/5/19,,
City of Pico Rivera,353,549.13,2020/5/19,,
City of Pomona,310,198.81,2020/5/19,,
City of Rancho Palos Verdes,81,189.49,2020/5/19,,
City of Redondo Beach,128,186.33,2020/5/19,,
City of Rolling Hills,2,103.09,2020/5/19,,
City of Rolling Hills Estates,13,160.24,2020/5/19,,
City of Rosemead,68,122.85,2020/5/19,,
City of San Dimas,39,112.99,2020/5/19,,
City of San Fernando,165,670.4,2020/5/19,,
City of San Gabriel,86,209.99,2020/5/19,,
City of San Marino,19,143.1,2020/5/19,,
City of Santa Clarita,594,269.48,2020/5/19,,
City of Santa Fe Springs,42,228.71,2020/5/19,,
City of Santa Monica,243,262.86,2020/5/19,,
City of Sierra Madre,8,72.8,2020/5/19,,
City of Signal Hill,18,152.58,2020/5/19,,
City of South El Monte,58,277.71,2020/5/19,,
City of South Gate,386,393.26,2020/5/19,,
City of South Pasadena,116,445.25,2020/5/19,,
City of Temple City,109,299,2020/5/19,,
City of Torrance,341,228.45,2020/5/19,,
City of Vernon,1,478.47,2020/5/19,,
City of Walnut,34,111.36,2020/5/19,,
City of West Covina,221,204.19,2020/5/19,,
City of West Hollywood,160,433.01,2020/5/19,,
City of Westlake Village,6,71.77,2020/5/19,,
City of Whittier,228,260.77,2020/5/19,,
Los Angeles,19020,470.26,2020/5/19,,
Los Angeles - Adams-Normandie,37,451.11,2020/5/19,,
Los Angeles - Alsace,41,329.45,2020/5/19,,
Los Angeles - Angeles National Forest,0,0,2020/5/19,,
Los Angeles - Angelino Heights,13,519.58,2020/5/19,,
Los Angeles - Arleta,208,605.18,2020/5/19,,
Los Angeles - Atwater Village,41,279.56,2020/5/19,,
Los Angeles - Baldwin Hills,136,436.95,2020/5/19,,
Los Angeles - Bel Air,32,379.64,2020/5/19,,
Los Angeles - Beverly Crest,36,287.43,2020/5/19,,
Los Angeles - Beverlywood,34,258.1,2020/5/19,,
Los Angeles - Boyle Heights*,443,509.88,2020/5/19,,
Los Angeles - Brentwood,74,239.06,2020/5/19,,
Los Angeles - Brookside,0,0,2020/5/19,,
Los Angeles - Cadillac-Corning,26,365.12,2020/5/19,,
Los Angeles - Canoga Park,431,660.14,2020/5/19,,
Los Angeles - Carthay,71,494.33,2020/5/19,,
Los Angeles - Central,254,651.42,2020/5/19,,
Los Angeles - Century City,31,242.34,2020/5/19,,
Los Angeles - Century Palms/Cove,163,482.73,2020/5/19,,
Los Angeles - Chatsworth,158,426.32,2020/5/19,,
Los Angeles - Cheviot Hills,19,207.17,2020/5/19,,
Los Angeles - Chinatown,15,187.01,2020/5/19,,
Los Angeles - Cloverdale/Cochran,52,357.31,2020/5/19,,
Los Angeles - Country Club Park,82,541.15,2020/5/19,,
Los Angeles - Crenshaw District,66,477.26,2020/5/19,,
Los Angeles - Crestview,78,686.14,2020/5/19,,
Los Angeles - Del Rey,63,210.45,2020/5/19,,
Los Angeles - Downtown*,104,378.09,2020/5/19,,
Los Angeles - Eagle Rock,142,358.69,2020/5/19,,
Los Angeles - East Hollywood,191,652.17,2020/5/19,,
Los Angeles - Echo Park,41,287.6,2020/5/19,,
Los Angeles - El Sereno,138,330.08,2020/5/19,,
Los Angeles - Elysian Park,13,227.59,2020/5/19,,
Los Angeles - Elysian Valley,40,393.27,2020/5/19,,
Los Angeles - Encino,114,252.37,2020/5/19,,
Los Angeles - Exposition,6,180.4,2020/5/19,,
Los Angeles - Exposition Park,206,458.62,2020/5/19,,
Los Angeles - Faircrest Heights,4,111.11,2020/5/19,,
Los Angeles - Figueroa Park Square,28,321.06,2020/5/19,,
Los Angeles - Florence-Firestone,271,571.19,2020/5/19,,
Los Angeles - Glassell Park,160,506.27,2020/5/19,,
Los Angeles - Gramercy Place,51,473.8,2020/5/19,,
Los Angeles - Granada Hills,228,391.81,2020/5/19,,
Los Angeles - Green Meadows,120,558.01,2020/5/19,,
Los Angeles - Hancock Park,73,428.43,2020/5/19,,
Los Angeles - Harbor City,68,233.92,2020/5/19,,
Los Angeles - Harbor Gateway,107,245.41,2020/5/19,,
Los Angeles - Harbor Pines,8,332.09,2020/5/19,,
Los Angeles - Harvard Heights,100,554.48,2020/5/19,,
Los Angeles - Harvard Park,220,579.94,2020/5/19,,
Los Angeles - Highland Park,150,309.97,2020/5/19,,
